DistrictPlanHeritageItemID,HeritageItemStatus,HeritageItemSignificance,HeritageItemHeritageRegisterCategory,HeritageItemType,HeritageRegisterLink,EDMReference,HeritageItemName,HeritageRegisterNumber,ScheduleReference,HeritagePlaceDescription,HeritageAerialMapNumber,Locality
591,Current,High Significance,Not Listed,Unknown,NULL,15/409200,"Commercial Building and Setting, Former Maher's Drapery ",NULL,1206,"Commercial Building and Setting, Former Maher's Drapery  and Lyttelton Barbers",398,Lyttelton
592,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/7495,15/409200,Former Kukupa Side School and Setting,7495,1209,Former Kukupa Side School and Setting and 380 Pettigrews Road,471,Pigeon Bay
593,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Daly's Wharf, Shelter and Setting",NULL,1210,"Daly's Wharf, Shelter and Setting and Daly's Wharf",534,Akaroa
594,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,1211,Dwelling and Setting and Dwelling,438,Lyttelton
598,Current,Significant,Not Listed,Unknown,NULL,15/409200,Triangle Reserve and Setting,NULL,1281,Triangle Reserve and Setting and High Street Triangle,272,NULL
599,Current,Significant,Not Listed,Unknown,NULL,15/409200,Triangle Reserve and Setting,NULL,1282,Triangle Reserve and Setting and High Street Triangle,279,NULL
600,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Ngaio Marsh House Garden,NULL,1283,Ngaio Marsh House Garden,675,Cashmere
601,Current,Significant,Not Listed,Unknown,NULL,15/409200,Open Air Classroom (east) and Setting,NULL,1284,Open Air Classroom (east) and Setting and Open Air Classrooms,40,Fendalton
602,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1792,15/409200,St Peter's Church & Setting,1792,1285,St Peter's Church & Setting and St Peter's Church,18,Upper Riccarton
603,Current,Significant,Not Listed,Unknown,NULL,15/409200,St James' Church Graveyard ,NULL,1287,St James' Church Graveyard ,653,Harewood
612,Current,High Significance,Historic Area,Unknown,http://www.heritage.org.nz/the-list/details/7516,15/409200,Church of St Mary the Virgin and Setting,7516,1300,Church of St Mary the Virgin and Setting and St Mary's Church Addington,638,Addington
613,Current,Significant,Historic Area,Unknown,http://www.heritage.org.nz/the-list/details/7516,15/409200,Church of St Mary the Virgin Belltower and Setting,7516,1301,Church of St Mary the Virgin Belltower and Setting and St Mary's Church Addington,639,Addington
614,Current,Significant,Historic Area,Unknown,http://www.heritage.org.nz/the-list/details/7516,15/409200,Church of St Mary the Virgin Lychgate and Setting,7516,1302,Church of St Mary the Virgin Lychgate and Setting and St Mary's Church Addington,640,Addington
615,Current,Significant,Not Listed,Unknown,NULL,15/409200,St Barnabas Sunday School and Setting,NULL,1303,St Barnabas Sunday School and Setting and St Barnabas Church,49,Fendalton
616,Current,High Significance,Not Listed,Unknown,NULL,15/409200,St Barnabas Parish Hall and Setting,NULL,1304,St Barnabas Parish Hall and Setting and St Barnabas Church,46,Fendalton
617,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/296,15/409200,Former Bishop's Chapel and Setting,296,1305,Former Bishop's Chapel and Setting and 100 Park Terrace ,163,NULL
618,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Former RNZAF Station Wigram Hangar 4 and Setting,NULL,1306,Former RNZAF Station Wigram Hangar 4 and Setting and Wigram Air Base Hangars 4 and 5,7,Hornby
619,Current,Significant,Not Listed,Unknown,NULL,15/409200,Glencarrig Waterwheel and Setting,NULL,1307,Glencarrig Waterwheel and Setting and 7 Percy Street,644,Akaroa
620,Current,Significant,Not Listed,Unknown,NULL,15/409200,Former Criterion Hotel and Setting,NULL,1309,Former Criterion Hotel and Setting and 74 Rue Lavaud,627,Akaroa
625,Current,Significant,Not Listed,Unknown,NULL,15/409200,Former Halswell Quarry Singlemen?s Quarters and Setting,NULL,1316,Former Halswell Quarry Singlemen?s Quarters and Setting and Setting,724,Halswell
626,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Remaining Former Halswell Quarry Crusher Buildings, Foundations, Retaining Walls and Setting",NULL,1317,"Remaining Former Halswell Quarry Crusher Buildings, Foundations, Retaining Walls and Setting and Setting",658,Halswell
627,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/7635,15/409200,St Paul's Church Graveyard ,7635,1318,St Paul's Church Graveyard ,665,Papanui
628,Current,Significant,Not Listed,Unknown,NULL,15/409200,Commercial Building and Setting,NULL,1320,Commercial Building and Setting and Setting,728,Lyttelton
629,Current,Significant,Not Listed,Unknown,NULL,15/409200,Canterbury Crematorium and Setting,NULL,1322,Canterbury Crematorium and Setting and Setting,730,Bromley
630,Current,Significant,Not Listed,Unknown,NULL,15/409200,Sumner Clock Tower and Setting,NULL,1323,Sumner Clock Tower and Setting and Setting,731,Sumner
631,Current,High Significance,Not Listed,Unknown,NULL,15/409200,"Dwelling and Setting, Avebury ",NULL,1324,"Dwelling and Setting, Avebury  and Setting",732,Richmond
641,Current,High Significance,Not Listed,Unknown,NULL,15/409200,St Mary's Church Graveyard ,NULL,1335,St Mary's Church Graveyard ,766,Halswell
642,Current,High Significance,Not Listed,Unknown,NULL,15/409200,"College House Kitchen, Dining Hall, Office, Common Room, Study Centre, Foyer, Accommodation Block and Setting",NULL,1336,"College House Kitchen, Dining Hall, Office, Common Room, Study Centre, Foyer, Accommodation Block and Setting and Setting",771,Ilam
648,Current,High Significance,Not Listed,Unknown,NULL,15/409200,College House Courtyard and setting,NULL,1342,College House Courtyard and setting and Setting,21,Ilam
649,Current,Significant,Not Listed,Unknown,NULL,15/409200,St James' Church Lychgate and Setting,NULL,1343,St James' Church Lychgate and Setting and St Jame's Church ,14,Harewood
650,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1838,15/409200,Canterbury Club Gas Lamp and Setting ,1838,1344,Canterbury Club Gas Lamp and Setting  and Gas Lamp and Hitching Post,743,NULL
651,Current,Significant,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/45,15/409200,Canterbury Provincial Council Buildings Former Land Transfer Office ,45,1345,Canterbury Provincial Council Buildings Former Land Transfer Office  and Setting,725,NULL
659,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Commercial Building and Setting, Former W. Williamson Construction Company ",NULL,1353,"Commercial Building and Setting, Former W. Williamson Construction Company  and Setting",744,NULL
660,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Former CSA / CoCA Gallery and Setting,NULL,1354,Former CSA / CoCA Gallery and Setting and Setting,745,NULL
661,Current,Significant,Not Listed,Unknown,NULL,15/409200,Commercial Building and Setting,NULL,1356,Commercial Building and Setting and Setting,746,NULL
662,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/7501,15/409200,"Dwelling and Setting, Rehutai ",7501,1357,"Dwelling and Setting, Rehutai  and Setting",NULL,Okains Bay
663,Current,Significant,Not Listed,Unknown,NULL,15/409200,Holy Trinity Avonside Lychgate and Setting,NULL,1358,Holy Trinity Avonside Lychgate and Setting and Holy Trinity Church setting ,763,Linwood
664,Current,Significant,Not Listed,Unknown,NULL,15/409200,Triangle Reserve and Setting,NULL,1359,Triangle Reserve and Setting and Setting,747,NULL
665,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Christchurch Boys' High School War Memorial and Setting,NULL,1360,Christchurch Boys' High School War Memorial and Setting and Christchurch Boys' High School Building and War Memorial,754,Fendalton
666,Current,Significant,Not Listed,Unknown,NULL,15/409200,Kapuatohe Reserve,NULL,1361,Kapuatohe Reserve,759,Belfast
6,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/3703,15/409200,"Dwelling and Setting, Red House",3703,35,"Dwelling and Setting, Red House and Cranmer Club",175,NULL
7,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3116,15/409200,Dwelling and Setting,3116,40,Dwelling and Setting and The Grange,201,NULL
8,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/5308,15/409200,Former Magistrates Court and Setting,5308,41,Former Magistrates Court and Setting and Former Magistrates Court,231,NULL
9,Current,Significant,Not Listed,Unknown,NULL,15/409200,Commercial Building and Setting,NULL,43,Commercial Building and Setting and Mother Hubbards,447,Redcliffs
10,Current,Significant,Not Listed,Unknown,NULL,15/409200,Former Dwelling and Setting,NULL,44,Former Dwelling and Setting and Setting,296,NULL
11,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Holy Trinity Avonside Graveyard and Setting,NULL,45,Holy Trinity Avonside Graveyard and Setting and Holy Trinity Church setting ,330,Linwood
