DistrictPlanHeritageItemID,HeritageItemStatus,HeritageItemSignificance,HeritageItemHeritageRegisterCategory,HeritageItemType,HeritageRegisterLink,EDMReference,HeritageItemName,HeritageRegisterNumber,ScheduleReference,HeritagePlaceDescription,HeritageAerialMapNumber,Locality
1,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1824,15/409200,"Former Dwelling and Setting, Middleton ",1824,27,"Former Dwelling and Setting, Middleton  and Middleton Grange",28,Upper Riccarton
2,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/579,15/409200,Dwelling and Setting,579,28,Dwelling and Setting and Dwelling,338,Linwood
3,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,30,Dwelling and Setting and Dwelling,140,NULL
4,Current,Significant,Not Listed,Unknown,NULL,15/409200,Abberley Park,NULL,31,Abberley Park,677,St Albans
5,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3117,15/409200,"Former Dwelling and Setting, Inveresk",3117,34,"Former Dwelling and Setting, Inveresk and Inveresk",169,NULL
13,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/4387,15/409200,Former Community of the Sacred Name and Setting,4387,50,Former Community of the Sacred Name and Setting and Community of the Sacred Name,646,NULL
14,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1876,15/409200,Dwelling and Setting,1876,51,Dwelling and Setting and Dwelling,340,Linwood
15,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3723,15/409200,Knox Church Interior,3723,53,Knox Church Interior,158,NULL
23,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1837,15/409200,Canterbury Club and Setting,1837,76,Canterbury Club and Setting and Canterbury Club,208,NULL
24,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1839,15/409200,Canterbury Club Hitching Post and Setting ,1839,77,Canterbury Club Hitching Post and Setting  and Gas Lamp and Hitching Post,216,NULL
25,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3111,15/409200,"Commercial Building and Setting, Harley Chambers",3111,78,"Commercial Building and Setting, Harley Chambers and Harley Chambers",209,NULL
26,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1865,15/409200,"Edmonds Band Rotunda Area including Rotunda, Shelter, Balustrades, Landing and Lamp Standards and Setting",1865,79,"Edmonds Band Rotunda Area including Rotunda, Shelter, Balustrades, Landing and Lamp Standards and Setting and Avon River Corridor",258,NULL
27,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,81,Dwelling and Setting and Dwelling,308,NULL
35,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/46,15/409200,ChristChurch Cathedral and Setting,46,106,ChristChurch Cathedral and Setting and Cathedral Square,252,NULL
36,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/3693,15/409200,Citizens' War Memorial and Setting,3693,107,Citizens' War Memorial and Setting and Cathedral Square,629,NULL
37,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,110,Dwelling and Setting and State House ChancellorStreet 3,321,Richmond
38,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,111,Dwelling and Setting and State House Chancellor Street 2,322,Richmond
39,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,112,Dwelling and Setting and State House Chancellor Street,320,Richmond
40,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1881,15/409200,Dwellings and Setting,1881,113,Dwellings and Setting and Chester Street Townhouse 1,291,NULL
41,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1831,15/409200,Gloucester Street Bridge and Setting,1831,115,Gloucester Street Bridge and Setting and Avon River Corridor,229,NULL
42,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/7323,15/409200,Dwellings and Setting,7323,116,Dwellings and Setting and Chester Street Townhouse 4,294,NULL
43,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3131,15/409200,"Former Dwelling and Setting, Risingholme",3131,118,"Former Dwelling and Setting, Risingholme and Risingholme",333,Opawa
44,Current,High Significance,Historic Area,Unknown,http://www.heritage.org.nz/the-list/details/7516,15/409200,Church Square and Setting,7516,120,Church Square and Setting and St Mary's Church Addington,90,Addington
51,Current,High Significance,Not Listed,Unknown,NULL,15/409200,"The Bricks Site, Cairn and Setting",NULL,133,"The Bricks Site, Cairn and Setting and Avon River Corridor",650,NULL
52,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/7383,15/409200,"Commercial Building and Setting, Former Cook and Ross",7383,152,"Commercial Building and Setting, Former Cook and Ross and Victoria Square",686,NULL
53,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1835,15/409200,Colombo Street Bridge and Setting,1835,153,Colombo Street Bridge and Setting and Avon River Corridor,249,NULL
54,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/7239,15/409200,Former St Mary's Convent Chapel and Setting,7239,154,Former St Mary's Convent Chapel and Setting and Rose Historic Chapel,254,NULL
55,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/4923,15/409200,"Dwelling and Setting, Te Wepu",4923,155,"Dwelling and Setting, Te Wepu and Setting",110,St Albans
64,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,167,Dwelling and Setting and Cottage,242,Sydenham
65,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1829,15/409200,"Former Dwellings and Setting, Blackheath Place ",1829,168,"Former Dwellings and Setting, Blackheath Place  and Blackheath",220,Sydenham
66,Current,High Significance,Not Listed,Unknown,NULL,15/409200,St Michael's School Hall and Setting,NULL,169,St Michael's School Hall and Setting and St Michael and All Angels,221,NULL
74,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/3659,15/409200,"Dwelling and Setting, Daresbury ",3659,185,"Dwelling and Setting, Daresbury  and Setting",664,Fendalton
75,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/3680,15/409200,"Dwelling and Setting, Los Angeles",3680,186,"Dwelling and Setting, Los Angeles and Los Angeles",55,Fendalton
76,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/3681,15/409200,St Barnabas Church and Setting,3681,188,St Barnabas Church and Setting and St Barnabas Church,47,Fendalton
77,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Dwelling and Setting, Brenchley",NULL,189,"Dwelling and Setting, Brenchley and Brenchley",44,Fendalton
78,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1949,15/409200,Woolston Borough Monument and Setting,1949,190,Woolston Borough Monument and Setting and Woolston Borough Memorial,345,Woolston
87,Current,Significant,Not Listed,Unknown,NULL,15/409200,MED Substation and Setting,NULL,207,MED Substation and Setting and Gasson Street MED,290,Sydenham
88,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3804,15/409200,Dwelling and Setting,3804,208,Dwelling and Setting and 12 Glandovery Road,41,Fendalton
89,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3805,15/409200,Dwelling and Setting,3805,209,Dwelling and Setting and 27 Glandovey Road,43,Fendalton
90,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3807,15/409200,Dwelling and Setting,3807,212,Dwelling and Setting and Setting,53,Fendalton
91,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3806,15/409200,Dwelling and Setting,3806,213,Dwelling and Setting and 60 Glandovey Road,51,Fendalton
99,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Dwelling and Setting, Blakeney",NULL,227,"Dwelling and Setting, Blakeney and Dwelling",107,Cashmere
100,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,229,Dwelling and Setting and Dwelling,227,Cashmere
101,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/275,15/409200,Sign of the Takahe and Setting,275,230,Sign of the Takahe and Setting and Sign of the Takake,241,Cashmere
109,Current,Significant,Not Listed,Unknown,NULL,15/409200,Elmwood Park,NULL,243,Elmwood Park,672,Merivale
110,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3713,15/409200,Dwelling and Setting,3713,245,Dwelling and Setting and Dwelling,74,Merivale
111,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3716,15/409200,Dwelling and Setting,3716,246,Dwelling and Setting and Dwelling,75,Merivale
112,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3125,15/409200,"Dwelling and Setting, Wahi Ruru",3125,247,"Dwelling and Setting, Wahi Ruru and Dwelling",460,Sumner
113,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1798,15/409200,Bridge and Setting,1798,248,Bridge and Setting and Helmores Lane Bridge,85,Merivale
120,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,269,Dwelling and Setting and Dwelling,306,NULL
121,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3130,15/409200,"Former Dwelling and Setting, Te Koroaha",3130,270,"Former Dwelling and Setting, Te Koroaha and Te Koroha",88,Merivale
122,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/304,15/409200,St Andrew's Church and Setting,304,271,St Andrew's Church and Setting and St Andrew's Church,87,Merivale
123,Current,Significant,Not Listed,Unknown,NULL,15/409200,Triangle Reserve and Setting,NULL,272,Triangle Reserve and Setting and High Street Triangle,253,NULL
132,Current,High Significance,Not Listed,Unknown,NULL,15/409200,"Former Dwelling and Setting, Ilam",NULL,301,"Former Dwelling and Setting, Ilam and Setting",657,Ilam
133,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Former Ilam Gardens,NULL,302,Former Ilam Gardens,656,Ilam
134,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,303,Dwelling and Setting and 5 Jacksons Road,58,Fendalton
135,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,305,Dwelling and Setting and Dwelling,48,Fendalton
140,Current,Significant,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/3132,15/409200,Former Vicarage of the Church of St Luke the Evangelist and Setting ,3132,315,Former Vicarage of the Church of St Luke the Evangelist and Setting  and St Luke's Church and Vicarage,278,NULL
141,Current,Significant,Not Listed,Unknown,NULL,15/409200,Commercial Building and Setting,NULL,316,Commercial Building and Setting and Kilmore Street Shop,300,NULL
142,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,319,Dwelling and Setting and Dwelling,305,NULL
143,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3075,15/409200,St Saviour's Church and Setting,3075,321,St Saviour's Church and Setting and St Saviour's Church and Cemetery,1,Templeton
144,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,322,Dwelling and Setting and Setting,31,Riccarton
145,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1883,15/409200,"Dwelling and Setting, Cobham",1883,323,"Dwelling and Setting, Cobham and Cobham",92,St Albans
154,Current,Significant,Not Listed,Unknown,NULL,15/409200,Former A & P Showgrounds Treasurer's Building and Setting,NULL,341,Former A & P Showgrounds Treasurer's Building and Setting and Treasurer's Building,27,Sockburn
155,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3719,15/409200,Dwelling and Setting,3719,343,Dwelling and Setting and Dweling,281,Sydenham
156,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Cashmere Hills Presbyterian Church and Setting,NULL,345,Cashmere Hills Presbyterian Church and Setting and Cashmere Hills Presbyterian Church,197,Cashmere
157,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3101,15/409200,Former Dwelling and Setting,3101,349,Former Dwelling and Setting and Cob Cottage,362,Ferrymead
158,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Redcliffs Tram/Bus Shelter, Wall and Setting",NULL,350,"Redcliffs Tram/Bus Shelter, Wall and Setting and Redcliffs Bus Shelter and Wall",449,Redcliffs
159,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Te Ana o Hineraki/Moa Bone Point Cave and Setting,NULL,351,Te Ana o Hineraki/Moa Bone Point Cave and Setting and Setting,703,Redcliffs
166,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/7311,15/409200,Former Dwelling and Setting,7311,374,Former Dwelling and Setting and State house,62,Riccarton
167,Current,Significant,Not Listed,Unknown,NULL,15/409200,Former Fruit Storage Shed and Setting ,NULL,376,Former Fruit Storage Shed and Setting  and Pataka Fruit Shed,318,Chaneys
168,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1908,15/409200,"Former Dwelling and Setting, Fitzroy",1908,377,"Former Dwelling and Setting, Fitzroy and Fitzroy",99,St Albans
169,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Dwelling and Setting, Avonhoe ",NULL,378,"Dwelling and Setting, Avonhoe  and Chilcombe",38,Fendalton
170,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Dwelling and Setting, Colwell",NULL,379,"Dwelling and Setting, Colwell and 46 Memorial Avenue",34,Fendalton
171,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Dwelling and Setting, Midway",NULL,383,"Dwelling and Setting, Midway and Midway",631,Upper Riccarton
181,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,395,Dwelling and Setting and Dwelling,191,NULL
182,Current,Significant,Not Listed,Unknown,NULL,15/409200,Former Grosvenor Hotel and Setting,NULL,398,Former Grosvenor Hotel and Setting and Grosvenor Hotel,292,NULL
183,Current,Significant,Not Listed,Unknown,NULL,15/409200,Rhododendron Island and Setting,NULL,399,Rhododendron Island and Setting and Avon River Corridor,206,NULL
189,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3815,15/409200,"Dwelling and Setting, Cardowan",3815,407,"Dwelling and Setting, Cardowan and Cardowan",328,Opawa
190,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1912,15/409200,Former Dwelling and Setting,1912,409,Former Dwelling and Setting and Pegasus Arms,156,NULL
191,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/294,15/409200,St. Michael and All Angels Church & Setting,294,410,St. Michael and All Angels Church & Setting and St Michael and All Angels,213,NULL
192,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/295,15/409200,St Michael and All Angels Church Belfry and Setting,295,411,St Michael and All Angels Church Belfry and Setting and St Michael and All Angels,214,NULL
193,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1927,15/409200,St Michael's School Stone Building and Setting,1927,412,St Michael's School Stone Building and Setting and St Michael and All Angels,219,NULL
202,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Dwelling and Setting, Amwell",NULL,427,"Dwelling and Setting, Amwell and Setting",104,St Albans
203,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1885,15/409200,Dwelling and Setting,1885,429,Dwelling and Setting and 236 Papanui Road,94,St Albans
204,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1884,15/409200,"Dwelling and Setting, Damsels",1884,433,"Dwelling and Setting, Damsels and Damsels",89,Merivale
210,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1888,15/409200,Dwelling and Setting,1888,446,Dwelling and Setting and Dwelling,126,NULL
211,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3109,15/409200,"Dwelling and Setting, Glenmore ",3109,449,"Dwelling and Setting, Glenmore  and Glenmore House",341,Hillsborough
212,Current,Significant,Not Listed,Unknown,NULL,15/409200,St Mark's Church and Setting,NULL,450,St Mark's Church and Setting and St Mark's Church,329,Marshland
213,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/1791,15/409200,"Dwelling and Setting, Chokebore Lodge",1791,451,"Dwelling and Setting, Chokebore Lodge and Chokebore Lodge",11,Upper Riccarton
214,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/5330,15/409200,Riccarton Racecourse Tea House and Setting,5330,452,Riccarton Racecourse Tea House and Setting and Riccarton Tea House,4,Riccarton Park
222,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/7336,15/409200,"Former Holy Name Seminary incorporating the former Dwelling, Baron's Court/Kilmead, Motor House and Setting",7336,463,"Former Holy Name Seminary incorporating the former Dwelling, Baron's Court/Kilmead, Motor House and Setting and Setting",30,Upper Riccarton
223,Current,Significant,Not Listed,Unknown,NULL,15/409200,Bush Inn Hotel and Setting,NULL,464,Bush Inn Hotel and Setting and Bush Inn,23,Upper Riccarton
224,Current,High Significance,Not Listed,Unknown,NULL,15/409200,St James' Church and Setting,NULL,465,St James' Church and Setting and St James' Church,60,Riccarton
225,Current,Significant,Not Listed,Unknown,NULL,15/409200,Commercial Building and Setting,NULL,466,Commercial Building and Setting and Old Saddlery,22,Upper Riccarton
226,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3112,15/409200,"Dwelling and Setting, The Hollies",3112,467,"Dwelling and Setting, The Hollies and Dwelling",337,Opawa
227,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3730,15/409200,"Dwelling and Setting, Springbank",3730,469,"Dwelling and Setting, Springbank and Dwelling 'Springbank'",326,St Martins
228,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Fitzgerald Statue and Setting,NULL,470,Fitzgerald Statue and Setting and Fitzgerald Statue,136,NULL
237,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/3276,15/409200,Christ's College Memorial Dining Hall and Setting,3276,479,Christ's College Memorial Dining Hall and Setting and Christ's College,130,NULL
238,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3279,15/409200,Christ's College Jacobs House and Setting,3279,480,Christ's College Jacobs House and Setting and Christ's College,123,NULL
239,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3280,15/409200,Christ's College School House and Setting,3280,481,Christ's College School House and Setting and Christ's College,117,NULL
240,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/48,15/409200,Christ's College Former Big School and Setting,48,482,Christ's College Former Big School and Setting and Christ's College,120,NULL
241,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3282,15/409200,Christ's College Open Air Classrooms and Setting,3282,483,Christ's College Open Air Classrooms and Setting and Christ's College,115,NULL
242,Current,Significant,Not Listed,Unknown,NULL,15/409200,Former Stables and Setting,NULL,485,Former Stables and Setting and Russley Road Barn ,6,Avonhead
243,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Dwelling and Setting, Ironside House",NULL,487,"Dwelling and Setting, Ironside House and Dwelling 'Ironside House'",185,NULL
255,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/3735,15/409200,Former Lancaster Park War Memorial Entrance Gates and Setting,3735,501,Former Lancaster Park War Memorial Entrance Gates and Setting and Lancaster park gates,319,Waltham
256,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1917,15/409200,Former R. Buchanan & Sons' City Foundry and Setting,1917,502,Former R. Buchanan & Sons' City Foundry and Setting and R Buchanan & Son,260,NULL
257,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1911,15/409200,Former P & D Duncan Ltd Building and Setting,1911,503,Former P & D Duncan Ltd Building and Setting and P & D Duncan Ltd,256,NULL
258,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/3658,15/409200,Christchurch Boys' High School Main Building and Setting,3658,506,Christchurch Boys' High School Main Building and Setting and Christchurch Boys' High School Building and War Memorial,52,Fendalton
259,Current,High Significance,Not Listed,Unknown,NULL,15/409200,"Tuawera/Cave Rock and Pilot/Signal Station, and Setting",NULL,507,"Tuawera/Cave Rock and Pilot/Signal Station, and Setting and Sumner War Memorials",458,Sumner
266,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dalraith Farm Building and Setting,NULL,521,Dalraith Farm Building and Setting and Dalraith Dairy,331,Ouruhia
267,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/3673,15/409200,"Former Dwelling and Setting, Ngaio Marsh House ",3673,522,"Former Dwelling and Setting, Ngaio Marsh House  and Setting",676,Cashmere
268,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Queen Victoria Statue/Canterbury Jubilee Memorial and Setting,NULL,523,Queen Victoria Statue/Canterbury Jubilee Memorial and Setting and Victoria Square,247,NULL
269,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1860,15/409200,Captain James Cook Statue and Setting,1860,524,Captain James Cook Statue and Setting and Victoria Square,240,NULL
270,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Former Market Place Bridge/Hamish Hay Bridge and Setting,NULL,525,Former Market Place Bridge/Hamish Hay Bridge and Setting and Victoria Square,684,NULL
271,Current,Significant,Not Listed,Unknown,NULL,15/409200,Floral Clock and Setting,NULL,526,Floral Clock and Setting and Victoria Square,234,NULL
279,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1921,15/409200,"Dwelling and Setting, Rise Cottage",1921,539,"Dwelling and Setting, Rise Cottage and Dwelling",207,Cashmere
280,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/3674,15/409200,Dwelling and Setting,3674,540,Dwelling and Setting and 2 Whisby Street,182,Cashmere
281,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/7339,15/409200,Former Wood Brothers Flour Mill and Setting,7339,541,Former Wood Brothers Flour Mill and Setting and Wood's mill,68,Addington
282,Current,Significant,Not Listed,Unknown,NULL,15/409200,MED Substation,NULL,544,MED Substation,678,Somerfield
283,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Clock Tower Block and Setting,NULL,545,Clock Tower Block and Setting and Arts Centre,149,NULL
284,Current,High Significance,Not Listed,Unknown,NULL,15/409200,College Hall and Setting,NULL,546,College Hall and Setting and Arts Centre,139,NULL
292,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Library and Setting,NULL,555,Library and Setting and Arts Centre,153,NULL
293,Current,High Significance,Not Listed,Unknown,NULL,15/409200,"Electrical Engineering Extension, School of Engineering, and Setting",NULL,556,"Electrical Engineering Extension, School of Engineering, and Setting and Arts Centre",167,NULL
294,Current,High Significance,Not Listed,Unknown,NULL,15/409200,West Lecture Block and Setting,NULL,557,West Lecture Block and Setting and Arts Centre,143,NULL
295,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Physics Building and Setting,NULL,558,Physics Building and Setting and Arts Centre,166,NULL
296,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Chemistry Building and Setting,NULL,560,Chemistry Building and Setting and Arts Centre,152,NULL
297,Current,High Significance,Not Listed,Unknown,NULL,15/409200,North and South Quadrangles and Setting,NULL,561,North and South Quadrangles and Setting and Arts Centre,150,NULL
304,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1893,15/409200,Dwelling and Setting,1893,569,Dwelling and Setting and Dwelling,168,NULL
305,Current,Significant,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1894,15/409200,Former Dwelling and Setting,1894,570,Former Dwelling and Setting and Dwelling,170,NULL
306,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1950,15/409200,Digby's Commercial School/Worcester Chambers and Setting,1950,571,Digby's Commercial School/Worcester Chambers and Setting and Trinity Congregational Church,679,NULL
307,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1840,15/409200,Captain Robert Falcon Scott Statue and Setting,1840,572,Captain Robert Falcon Scott Statue and Setting and Avon River Corridor,226,NULL
308,Current,High Significance,Category 1,Unknown,http://www.heritage.org.nz/the-list/details/301,15/409200,Former Government Buildings and Setting,301,575,Former Government Buildings and Setting and Setting,688,NULL
309,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Commercial Building Fa‡ade and Setting, Former A W Smith and Son's Central Garage/Mayfair-Cinerama Theatre",NULL,576,"Commercial Building Fa‡ade and Setting, Former A W Smith and Son's Central Garage/Mayfair-Cinerama Theatre and Former Cinerama / tram arcade",263,NULL
310,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1931,15/409200,"Commercial Building and Setting, Former State Insurance ",1931,577,"Commercial Building and Setting, Former State Insurance  and Trinity Congregational Church",692,NULL
319,Current,Significant,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,597,Dwelling and Setting and Setting,702,Moncks Spur
320,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Dwelling and Setting,NULL,598,Dwelling and Setting and Dwelling,452,Clifton
321,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Dwelling and Setting, Bloomsbury",NULL,599,"Dwelling and Setting, Bloomsbury and Bloomsbury",344,Woolston
322,Current,Significant,Not Listed,Unknown,NULL,15/409200,MED Substation and Setting,NULL,600,MED Substation and Setting and Substation,334,Avonside
323,Current,Significant,Not Listed,Unknown,NULL,15/409200,Former MED Substation and Setting ,NULL,601,Former MED Substation and Setting  and Gasson Street Substation,239,Sydenham
324,Current,Significant,Not Listed,Unknown,NULL,15/409200,New Brighton Clock Tower and Setting,NULL,602,New Brighton Clock Tower and Setting and New Brighton Clock Tower,446,New Brighton
329,Current,High Significance,Not Listed,Unknown,NULL,15/409200,"Commercial Building and Setting, Former Chief Post Office ",NULL,609,"Commercial Building and Setting, Former Chief Post Office  and Setting",685,NULL
330,Current,Significant,Not Listed,Unknown,NULL,15/409200,"Former Pumphouse and Setting, Pump No. 24.",NULL,613,"Former Pumphouse and Setting, Pump No. 24. and Matai Street Substation",70,Riccarton
331,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Christ's College Former New Classrooms and Setting,NULL,615,Christ's College Former New Classrooms and Setting and Christ's College,125,NULL
332,Current,Significant,Not Listed,Unknown,NULL,15/409200,Christ's College Administration Building and Setting,NULL,616,Christ's College Administration Building and Setting and Christ's College,132,NULL
333,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Christ's College Dining Hall Tower and Hospital and Setting,NULL,617,Christ's College Dining Hall Tower and Hospital and Setting and Christ's College,129,NULL
334,Current,High Significance,Category 2,Unknown,http://www.heritage.org.nz/the-list/details/1834,15/409200,Hagley Park Bridge and Setting,1834,618,Hagley Park Bridge and Setting and Armagh Street Bridge Hagley Park,131,NULL
335,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Armagh Street Kerbstones and Setting,NULL,619,Armagh Street Kerbstones and Setting and Kerbstones,228,NULL
342,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Former RNZAF Station Wigram Instructional Building/Control Tower and Setting,NULL,628,Former RNZAF Station Wigram Instructional Building/Control Tower and Setting and Wigram Air Base Hangars 4 and 5,10,Hornby
343,Current,High Significance,Not Listed,Unknown,NULL,15/409200,Former RNZAF Station Wigram Hangar 5 and Setting,NULL,629,Former RNZAF Station Wigram Hangar 5 and Setting and Wigram Air Base Hangars 4 and 5,8,Hornby
344,Current,High Significance,Not Listed,Unknown,NULL,15/409200,"Former RNZAF Station Wigram No 1 Officers' Mess, Brevet Garden and Setting",NULL,630,"Former RNZAF Station Wigram No 1 Officers' Mess, Brevet Garden and Setting and Wigram Air Base No 1 Officers' Mess",647,Hornby
