Incident ID, Reported on, Incident type, Address
134705,15/04/2016 at 00:57,Rubbish/Recycling,"100 Oxford Terrace, Christchurch Central, Christchurch 8011, New Zealand"
134724,15/04/2016 at 02:04,Parks,"595 Pages Rd, Bexley, Christchurch 8061, New Zealand"
134747,15/04/2016 at 03:04,Water Supply,"126-130 Tennyson St, Sydenham, Christchurch 8023, New Zealand"
134749,15/04/2016 at 03:14,Graffiti,"28, Torrens Road, Middleton, 8024, Canterbury"
134753,15/04/2016 at 03:21,Rubbish/Recycling,"57, Lincoln Road, Spreydon, 8024, Canterbury"
134755,15/04/2016 at 03:25,Graffiti,"61, Lincoln Road, Spreydon, 8024, Canterbury"
134757,15/04/2016 at 03:30,Graffiti,"Addington, 8024, Canterbury"
134758,15/04/2016 at 03:34,Graffiti,"Lincoln Road, Spreydon, 8024, Canterbury"
134759,15/04/2016 at 03:36,Graffiti,"213, Marine Parade, New Brighton, 8061, Canterbury"
134760,15/04/2016 at 03:37,Graffiti,"103, Lincoln Road, Spreydon, 8024, Canterbury"
134764,15/04/2016 at 03:42,Graffiti,"135, Lincoln Road, Spreydon, 8024, Canterbury"
134766,15/04/2016 at 03:46,Roading/Streets,"143, Lincoln Road, Spreydon, 8024, Canterbury"
134768,15/04/2016 at 03:48,Roading/Streets,"85A, Nottingham Avenue, Halswell, 8025, Canterbury"
134769,15/04/2016 at 03:50,Graffiti,"15, Twigger Street, Addington, 8024, Canterbury"
134770,15/04/2016 at 03:51,Graffiti,"13, Twigger Street, Addington, 8024, Canterbury"
134772,15/04/2016 at 04:02,Graffiti,"75, Jack Hinton Drive, Addington, 8024, Canterbury"
134776,15/04/2016 at 04:05,Rubbish/Recycling,"75, Jack Hinton Drive, Addington, 8024, Canterbury"
134778,15/04/2016 at 04:08,Roading/Streets,"Christchurch Southern Motorway, Addington, 8024, Canterbury"
134780,15/04/2016 at 04:11,Roading/Streets,"Christchurch Southern Motorway, Middleton, 8024, Canterbury"
134782,15/04/2016 at 04:14,Roading/Streets,"213, Marine Parade, New Brighton, 8061, Canterbury"
134783,15/04/2016 at 04:14,Rubbish/Recycling,"21, Hillmorton Street, Middleton, 8024, Canterbury"
134784,15/04/2016 at 04:16,Graffiti,"213, Marine Parade, New Brighton, 8061, Canterbury"
134785,15/04/2016 at 04:16,Graffiti,"208, Marine Parade, New Brighton, 8083, Canterbury"
134786,15/04/2016 at 04:17,Rubbish/Recycling,"53, Torrens Road, Middleton, 8024, Canterbury"
134787,15/04/2016 at 04:20,Roading/Streets,"58, Torrens Road, Middleton, 8024, Canterbury"
134790,15/04/2016 at 04:26,Graffiti,"81, Sylvan Street, Middleton, 8024, Canterbury"
134803,15/04/2016 at 05:01,Wastewater/Stormwater,"350, Armagh Street, Christchurch, 8011, Canterbury"
134814,15/04/2016 at 05:55,Graffiti,"49-55 Wordsworth St, Sydenham, Christchurch 8023, New Zealand"
134840,15/04/2016 at 09:55,Graffiti,"15 Nautilus Pl, Brooklands, Christchurch 8083, New Zealand"
134849,15/04/2016 at 20:50,Rubbish/Recycling,"9, Lower Styx Road, Marshland, 8083, Canterbury"
134851,15/04/2016 at 21:18,Parks,"9, Lower Styx Road, Marshland, 8083, Canterbury"
