tempParkAssetID,FeatureCategory,TableSurfaceFinish,tableConstructionMethod,Comment
87441,Furniture - Table,,,
87442,Furniture - Table,,,
87476,Furniture - Table,,,
87482,Furniture - Table,,,
87483,Furniture - Table,,,
87489,Furniture - Table,,,
87491,Furniture - Table,,,
87510,Furniture - Table,,,
87511,Furniture - Table,,,
87514,Furniture - Table,,,
87516,Furniture - Table,,,
87539,Furniture - Table,,,
87543,Furniture - Table,,,
87545,Furniture - Table,,,
88496,Furniture - Table,,,
88497,Furniture - Table,,,
88498,Furniture - Table,,,
88499,Furniture - Table,,,
89142,Furniture - Table,,,
89157,Furniture - Table,,,
89160,Furniture - Table,,,
89165,Furniture - Table,,,
89167,Furniture - Table,,,
89184,Furniture - Table,,,
89280,Furniture - Table,,,
89610,Furniture - Table,,,
89619,Furniture - Table,,,
89664,Furniture - Table,,,
89665,Furniture - Table,,,
89671,Furniture - Table,,,
89673,Furniture - Table,,,
89692,Furniture - Table,,,
89693,Furniture - Table,,,
89710,Furniture - Table,,,
89716,Furniture - Table,,,
89723,Furniture - Table,,,
89728,Furniture - Table,,,
89738,Furniture - Table,,,
89753,Furniture - Table,,,
89763,Furniture - Table,,,
89774,Furniture - Table,,,
89783,Furniture - Table,,,
89793,Furniture - Table,,,
89795,Furniture - Table,,,
89798,Furniture - Table,,,
89801,Furniture - Table,,,
89803,Furniture - Table,,,
89813,Furniture - Table,,,
89823,Furniture - Table,,,
89825,Furniture - Table,,,
89834,Furniture - Table,,,
89841,Furniture - Table,,,
89842,Furniture - Table,,,
89844,Furniture - Table,,,
89845,Furniture - Table,,,
89854,Furniture - Table,,,
89855,Furniture - Table,,,
89856,Furniture - Table,,,
89861,Furniture - Table,,,
90284,Furniture - Table,,,
90288,Furniture - Table,,,
90289,Furniture - Table,,,
90294,Furniture - Table,,,
90295,Furniture - Table,,,
90296,Furniture - Table,,,
90297,Furniture - Table,,,
90300,Furniture - Table,,,
90305,Furniture - Table,,,
90306,Furniture - Table,,,
90328,Furniture - Table,,,
90330,Furniture - Table,,,
90335,Furniture - Table,,,
90338,Furniture - Table,,,
90339,Furniture - Table,,,
90341,Furniture - Table,,,
90343,Furniture - Table,,,
90359,Furniture - Table,,,
90360,Furniture - Table,,,
90363,Furniture - Table,,,
90365,Furniture - Table,,,
90524,Furniture - Table,,,
91433,Furniture - Table,,,
91434,Furniture - Table,,,
91446,Furniture - Table,,,
91447,Furniture - Table,,,
91448,Furniture - Table,,,
91484,Furniture - Table,,,
91495,Furniture - Table,,,
91505,Furniture - Table,,,
91528,Furniture - Table,,,
91529,Furniture - Table,,,
91530,Furniture - Table,,,
91531,Furniture - Table,,,
91532,Furniture - Table,,,
91533,Furniture - Table,,,
91878,Furniture - Table,,,
91885,Furniture - Table,,,
91889,Furniture - Table,,,
91900,Furniture - Table,,,
91902,Furniture - Table,,,
91904,Furniture - Table,,,
91913,Furniture - Table,,,
91922,Furniture - Table,,,
91956,Furniture - Table,,,
91958,Furniture - Table,,,
91994,Furniture - Table,,,
92149,Furniture - Table,,,
92341,Furniture - Table,,,
95095,Furniture - Table,,,
95101,Furniture - Table,,,
95102,Furniture - Table,,,
95103,Furniture - Table,,,
95110,Furniture - Table,,,
95147,Furniture - Table,,,
95214,Furniture - Table,,,
95273,Furniture - Table,,,
95282,Furniture - Table,,,
95287,Furniture - Table,,,
95291,Furniture - Table,,,
95300,Furniture - Table,,,
95351,Furniture - Table,,,
95352,Furniture - Table,,,
95353,Furniture - Table,,,
95357,Furniture - Table,,,
95367,Furniture - Table,,,
95369,Furniture - Table,,,
95370,Furniture - Table,,,
95371,Furniture - Table,,,
95372,Furniture - Table,,,
95378,Furniture - Table,,,
95379,Furniture - Table,,,
95381,Furniture - Table,,,
95388,Furniture - Table,,,
95390,Furniture - Table,,,
95395,Furniture - Table,,,
95397,Furniture - Table,,,
95398,Furniture - Table,,,
95402,Furniture - Table,,,
95403,Furniture - Table,,,
95421,Furniture - Table,,,
95425,Furniture - Table,,,
95427,Furniture - Table,,,
95430,Furniture - Table,,,
95431,Furniture - Table,,,
95432,Furniture - Table,,,
95433,Furniture - Table,,,
95436,Furniture - Table,,,
95441,Furniture - Table,,,
95448,Furniture - Table,,,
95449,Furniture - Table,,,
95451,Furniture - Table,,,
95453,Furniture - Table,,,
95461,Furniture - Table,,,
95463,Furniture - Table,,,
95464,Furniture - Table,,,
95466,Furniture - Table,,,
95467,Furniture - Table,,,
